Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,0.5,1.0143548781111804,75.07833333333333,87.62,0.4523133065100688
2,0.5,0.4176280306600558,87.99833333333333,89.93,0.35090833060016297
3,0.5,0.3529828698920416,89.75833333333334,91.06,0.31037889434036553
4,0.5,0.3167734133965298,90.77833333333334,91.65,0.2833806202527444
5,0.5,0.29152370163245495,91.535,92.41,0.26147441255154125
6,0.5,0.2721920492552491,92.08,92.85,0.2459926057286608
7,0.5,0.25693644443427577,92.555,93.29,0.2318072227381502
8,0.5,0.24369597183997188,92.925,93.73,0.219903780337257
9,0.5,0.23244387212036643,93.24833333333333,93.93,0.21056168814112616
10,0.5,0.22270714170706551,93.47333333333333,94.03,0.20103528932519968
11,0.5,0.21405301964295698,93.74,94.3,0.19431128676767181
12,0.5,0.2066373059482399,93.92666666666666,94.45,0.18727607063498278
13,0.5,0.19965114628375846,94.08666666666667,94.45,0.18232285986790897
14,0.5,0.19353198141717454,94.29666666666667,94.78,0.1757079250991914
15,0.5,0.18790834656418132,94.44666666666667,94.87,0.1697368872749388
16,0.5,0.18283393831331846,94.56333333333333,95.08,0.16497588830934778
17,0.5,0.17805694660016977,94.705,95.22,0.16124794335596881
18,0.5,0.17359834802605068,94.88333333333334,95.36,0.15760364407187055
19,0.5,0.16962188372670461,94.975,95.52,0.15366719771105392
20,0.5,0.16574177022840678,95.115,95.6,0.15029482421714363
21,0.5,0.1621742360631445,95.23833333333333,95.7,0.14671683570987004
22,0.5,0.1589529702007008,95.29833333333333,95.75,0.14332325944593946
23,0.5,0.15574732797542043,95.41166666666666,95.9,0.14084378029160485
24,0.5,0.1528534483966797,95.52166666666666,95.87,0.13873579075625225
25,0.5,0.15037145925117834,95.61,96.02,0.13584494075120968
26,0.5,0.14764325496460648,95.68333333333334,96.1,0.1336325181820163
27,0.5,0.14513529372065942,95.76666666666667,96.11,0.13119084635085076
28,0.5,0.14286804311414328,95.78833333333333,96.14,0.12941340444562066
29,0.5,0.14061673438108996,95.86166666666666,96.2,0.12712580368225315
30,0.5,0.13862554340966857,95.94,96.25,0.12531728308446183
31,0.5,0.13655330216103018,96.00666666666666,96.3,0.12317473878550111
32,0.5,0.13468110170572806,96.06333333333333,96.31,0.12163533934000524
33,0.5,0.13273043532385184,96.135,96.41,0.11995589453578707
34,0.5,0.13116139874084673,96.19333333333333,96.41,0.11792954733108829
35,0.5,0.12948978921251575,96.245,96.36,0.11723084699000665
36,0.5,0.1280255751140209,96.29666666666667,96.42,0.11535821756893758
37,0.5,0.12640871206667822,96.34833333333333,96.45,0.11483482815322295
38,0.5,0.125118148507181,96.37666666666667,96.56,0.11279421659026319
39,0.5,0.12361072462155366,96.42833333333333,96.54,0.1120598567709042
40,0.5,0.12230074400209319,96.47,96.64,0.1102591695161655
41,0.5,0.12110732125638644,96.50666666666666,96.7,0.10895150238618397
42,0.5,0.11983505867596374,96.525,96.73,0.10782714079098574
43,0.5,0.11862541870204116,96.58666666666667,96.69,0.10712074450362521
44,0.5,0.11760134401439286,96.58666666666667,96.79,0.10578377382639961
45,0.5,0.11657457063193007,96.615,96.82,0.10468953922109168
46,0.5,0.11539862220630304,96.66666666666667,96.77,0.1038668093658616
47,0.5,0.11447088142185768,96.68833333333333,96.81,0.10280153221987591
48,0.5,0.11337982638200908,96.7,96.87,0.10199743397029674
49,0.5,0.11237989474477163,96.72333333333333,96.84,0.10101627685562678
50,0.5,0.11157172827371784,96.77166666666666,96.89,0.10011648036581079
51,0.5,0.11061714463400593,96.815,96.92,0.09947433839344484
52,0.5,0.10962638496530494,96.78833333333333,97.0,0.09848993026672204
53,0.5,0.10885094570071459,96.83333333333333,97.01,0.09819158120377428
54,0.5,0.1079462322154279,96.86833333333334,97.02,0.09696869208821493
55,0.5,0.10715993191760931,96.87833333333333,97.01,0.0961936900160827
56,0.5,0.10646252773964265,96.89,97.11,0.09553229540236484
57,0.5,0.10563529002716515,96.915,97.06,0.09467525675353018
58,0.5,0.10491407305093557,96.96,97.1,0.09399283755048635
59,0.5,0.10426727086077256,96.96166666666667,97.08,0.09380786473474281
60,0.5,0.10353601519971578,96.98333333333333,97.15,0.09345885664432245
61,0.5,0.10286371785499998,97.02666666666667,97.1,0.09228659388134672
62,0.5,0.10210321596992422,97.04333333333334,97.15,0.09189318932420841
63,0.5,0.10149178394714176,97.04833333333333,97.15,0.0908810481500284
64,0.5,0.10088003081168288,97.07166666666667,97.15,0.09053589510553439
65,0.5,0.1002781433569613,97.08833333333334,97.18,0.09026350413084291
66,0.5,0.09953223187714688,97.11,97.18,0.0896126397390061
