Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
45,0,2.128857957432642,43.588,40.93,2.2293101139129345
46,0,2.113696083083482,44.166,41.21,2.2273320551890476
47,0,2.103251749902125,44.226,41.51,2.20782723700165
48,0,2.0851684067865164,44.456,41.63,2.21087824311226
49,0,2.0812712212657685,44.89,41.81,2.196562782214705
50,0,2.0623624109856005,45.152,41.93,2.188150217578669
51,0,2.0596917849367538,45.096,42.13,2.1810185036082177
52,0,2.0455519384740257,45.62,42.01,2.1713929571163884
53,0,2.0314702451076654,45.876,42.79,2.1621757852044077
54,0,2.0263636273801175,46.06,42.41,2.1760318787993898
55,0,2.0135761654895283,46.338,43.09,2.1422901138378556
56,0,2.0051606123709615,46.32,43.34,2.143114368627026
57,0,1.994655684284542,46.89,43.3,2.1349071416125933
58,0,1.9827483052487873,47.026,43.46,2.1319897265950587
59,0,1.9736976271395184,47.38,43.26,2.128274995809907
60,0,1.9708505480185798,47.072,43.32,2.1186484113620345
61,0,1.9572455963820143,47.702,43.49,2.1215606533038387
62,0,1.9422382973039243,47.784,43.81,2.112487398894729
63,0,1.9395834850838116,47.768,43.74,2.106663344012704
64,0,1.9335295945177298,48.14,44.03,2.0933623625214692
65,0,1.9232974032611798,48.664,44.15,2.0889495899722834
66,0,1.9119881521100583,48.718,44.06,2.099437084926921
67,0,1.902776531246312,48.816,44.45,2.0914142109026574
68,0,1.8983890008743463,49.184,44.02,2.0798199298275506
69,0,1.8878057512176005,49.168,44.43,2.0666585257098933
70,0,1.880358905743455,49.46,44.77,2.0665222603803985
71,0,1.8737100567049383,49.502,44.48,2.0846873962195818
72,0,1.8698837164112978,49.514,44.72,2.0677479019590246
73,0,1.8568898793071738,49.852,45.09,2.053332016726208
74,0,1.8537865053967137,49.86,45.15,2.0405184098869373
75,0,1.8428970674419647,50.17,45.32,2.0399353701597565
76,0,1.8354933428032625,50.436,45.5,2.0416628828473913
77,0,1.8292167343751853,50.622,45.1,2.037769173360934
78,0,1.8228637117254154,50.856,45.31,2.0403822561737837
79,0,1.8129010531298644,50.782,45.39,2.0316586236285556
80,0,1.8017933165935605,51.21,45.57,2.026314204665506
81,0,1.8005546480798356,51.106,45.96,2.018945603613641
82,0,1.7920281021186457,51.378,45.61,2.0275767813822267
83,0,1.788359872977752,51.632,45.94,2.0152298477804584
84,0,1.7812074912173668,51.532,45.82,2.0266912993352126
85,0,1.7705288210793224,52.03,46.15,2.0131200939227063
86,0,1.76526840919119,52.062,46.08,2.003092218356527
87,0,1.7577405318884594,52.29,46.33,2.002531969623201
88,0,1.758084405413674,52.264,46.27,2.006335907680973
89,0,1.7433470368690198,52.65,46.56,1.9913909480829908
90,0,1.7338141271525331,52.772,46.22,2.0031352513914653
91,0,1.7305044033338346,52.752,46.41,1.9950994777072006
92,0,1.7263707782301452,52.91,46.54,1.9974998061064702
93,0,1.7243441965269006,53.14,46.86,1.982404595727374
94,0,1.7164129675806636,53.116,46.48,1.9999593298905973
95,0,1.7076763961931019,53.314,46.85,1.984706842215957
96,0,1.6988073227655551,53.564,46.96,1.9776577167450242
97,0,1.691202075585075,53.864,47.23,1.970081235952438
98,0,1.6859290933669986,53.856,47.28,1.966434767291804
99,0,1.6857257171360123,53.996,47.1,1.9720325644608516
100,0,1.6769095781209218,54.22,47.14,1.9681748060663795
1,0.25,3.493187856186381,16.892,25.85,2.974789964165657
2,0.25,2.85136919588689,28.57,32.77,2.6286205516499317
3,0.25,2.5758080576996667,34.234,35.74,2.456439811712617
4,0.25,2.398684844793871,38.16,39.1,2.3186342936412543
5,0.25,2.2608051928108,41.256,41.66,2.2142270021377857
6,0.25,2.152158762487914,43.5,43.47,2.127031201010297
7,0.25,2.063809360689519,45.212,45.31,2.059260485278573
8,0.25,1.990499000415168,47.084,46.17,2.011541321778753
9,0.25,1.9173343100816087,48.724,46.76,1.9735256539788215
10,0.25,1.8581085506912387,50.172,48.32,1.9181212452566547
11,0.25,1.8023804080150927,51.422,48.85,1.8983177447774608
12,0.25,1.7534670075187293,52.58,49.61,1.870845632188639
13,0.25,1.707711705009041,53.782,50.16,1.8528381760712642
14,0.25,1.667784753967734,54.936,50.73,1.810849188239711
15,0.25,1.628565693145518,55.688,51.38,1.8015932125650393
16,0.25,1.586495250082382,56.662,52.03,1.773034227122167
17,0.25,1.5537589626848851,57.448,52.08,1.766320593797477
18,0.25,1.5270995205015783,57.93,52.52,1.746593230848859
19,0.25,1.493334276063363,59.008,52.96,1.7344964628766297
20,0.25,1.4667032499752386,59.658,53.17,1.7194727499773548
21,0.25,1.4354596477945138,60.488,53.54,1.7026648399936166
22,0.25,1.4077316564519693,61.202,53.9,1.6873303059559719
23,0.25,1.3804069708680253,61.956,54.53,1.671773024425385
24,0.25,1.3553659880100308,62.568,54.94,1.6656379388396148
25,0.25,1.3348430870743968,63.034,54.61,1.6563079083801076
26,0.25,1.3104055768541059,63.732,55.17,1.643079920179525
27,0.25,1.2858404540039998,64.3,55.02,1.641811255436794
28,0.25,1.262483277894042,65.082,55.78,1.6292664063204625
29,0.25,1.2445320425283573,65.388,55.99,1.6218676612635328
30,0.25,1.2210997905572663,66.06,55.88,1.6100668899572579
31,0.25,1.2016000408498222,66.602,56.06,1.6075380045896883
32,0.25,1.1828730218398296,67.156,56.44,1.5985090345334096
33,0.25,1.1694105958847134,67.448,56.5,1.5899289762897857
34,0.25,1.1497002586226939,67.824,56.76,1.5878610212332125
35,0.25,1.128542712506126,68.514,56.91,1.586979954865328
36,0.25,1.1131723074961806,68.878,56.66,1.5801606436443936
37,0.25,1.0968058716763012,69.49,57.04,1.59016811961581
38,0.25,1.081573370320108,69.666,57.54,1.5796196639158164
39,0.25,1.0628127687422515,70.34,57.36,1.5721499054295243
40,0.25,1.0510043484323166,70.704,57.72,1.5695534432010285
41,0.25,1.0331523572392476,71.158,57.8,1.5591947880520183
42,0.25,1.0180486258490922,71.71,57.82,1.5585347634212228
43,0.25,1.0029547986624492,72.018,58.36,1.5586146981852829
44,0.25,0.9903213838329705,72.434,57.85,1.5576606248594393
45,0.25,0.9739769990639309,72.902,58.6,1.5442875316188593
46,0.25,0.9633724095723818,73.032,58.56,1.545212939666335
