Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy
30,0.25,0.18927286083954992,94.31166666666667,94.51
31,0.25,0.1864357934291683,94.4,94.61
32,0.25,0.18374581047212646,94.48,94.7
33,0.25,0.18102354376809174,94.55833333333334,94.81
34,0.25,0.1785233342873135,94.66833333333334,94.92
35,0.25,0.17618697352890075,94.705,94.82
36,0.25,0.17381279650074777,94.79166666666667,95.09
37,0.25,0.17158956208161072,94.835,95.05
38,0.25,0.1695846451847538,94.915,95.13
39,0.25,0.16749385233992325,94.97833333333334,95.04
40,0.25,0.16554741495882652,95.01166666666667,95.3
41,0.25,0.16361564774312445,95.10833333333333,95.33
42,0.25,0.16165030458723623,95.135,95.44
43,0.25,0.15991332848816475,95.18,95.47
44,0.25,0.1583472206823226,95.28,95.5
45,0.25,0.15669822829690125,95.30666666666667,95.51
46,0.25,0.15489866001519567,95.34666666666666,95.62
47,0.25,0.15356524130786214,95.42666666666666,95.56
48,0.25,0.15198047876135626,95.455,95.63
49,0.25,0.15042704095972625,95.49333333333334,95.61
50,0.25,0.14917062763879294,95.57666666666667,95.79
51,0.25,0.14775390346159242,95.6,95.8
52,0.25,0.14634741778805185,95.65333333333334,95.86
53,0.25,0.14497755524485922,95.705,95.87
54,0.25,0.14385685688261984,95.72666666666667,95.85
55,0.25,0.14261994099240505,95.77,95.95
56,0.25,0.1414698786072449,95.765,95.91
57,0.25,0.14047124929257485,95.82833333333333,95.91
58,0.25,0.13924901077210078,95.84666666666666,96.0
59,0.25,0.13819221131154089,95.905,96.04
60,0.25,0.13704490056162133,95.93166666666667,96.12
61,0.25,0.1360018246614539,95.95166666666667,96.16
62,0.25,0.1350490687581808,95.995,96.18
63,0.25,0.13412506491350912,96.03166666666667,96.27
64,0.25,0.13321305446620627,96.04333333333334,96.18
65,0.25,0.1321968741869844,96.03333333333333,96.25
66,0.25,0.1312677828547384,96.11166666666666,96.35
67,0.25,0.1303919744767201,96.125,96.29
68,0.25,0.12958588068689236,96.16166666666666,96.33
69,0.25,0.12869635837347204,96.165,96.39
70,0.25,0.12788832798473107,96.17166666666667,96.37
71,0.25,0.12713479034618527,96.21,96.4
72,0.25,0.12632570955664046,96.23666666666666,96.43
73,0.25,0.12551607573325477,96.26833333333333,96.41
74,0.25,0.12469865590719177,96.26,96.49
75,0.25,0.12397199699571773,96.32166666666667,96.58
76,0.25,0.12327820825368674,96.32666666666667,96.49
77,0.25,0.12254140505404361,96.33333333333333,96.43
78,0.25,0.12179849005099744,96.37166666666667,96.5
79,0.25,0.12121468404832203,96.40333333333334,96.51
80,0.25,0.12045854969676942,96.4,96.58
