Epoch,Train_Loss,Train_Accuracy,Test_Accuracy
1,0.8564811030875391,75.575,85.08
2,0.4811787061822186,85.52166666666666,87.03
3,0.42392501355742596,87.19666666666667,88.29
4,0.3934187622371513,88.03666666666666,88.96
5,0.3731732889533297,88.70333333333333,89.78
6,0.356871040391007,89.21833333333333,90.27
7,0.34350454554692517,89.59333333333333,90.42
8,0.3322964695010231,89.97333333333333,90.83
9,0.3221281245906851,90.25,91.16
10,0.31299014509454975,90.58,91.42
11,0.3043286689340687,90.81833333333333,91.55
12,0.2963733283091964,91.06166666666667,91.89
13,0.28924345735833845,91.26666666666667,92.11
14,0.28222131091299085,91.5,92.24
15,0.2752692297752351,91.73166666666667,92.39
16,0.26933660617133953,91.895,92.67
17,0.2633544827924608,92.125,92.9
18,0.2579895556926219,92.25833333333334,92.98
19,0.25248928307724405,92.39666666666666,93.11
20,0.24752427998985818,92.55166666666666,93.28
21,0.24281865470746813,92.67833333333333,93.4
22,0.23842201918871928,92.90333333333334,93.55
23,0.23385874264196418,92.96833333333333,93.51
24,0.229779737336295,93.11666666666666,93.83
25,0.2258357209707501,93.26833333333333,93.88
26,0.22215730116676802,93.34,94.03
27,0.21867764614093532,93.46,94.01
28,0.2151780677582028,93.555,94.17
29,0.2118228485327222,93.68833333333333,94.25
30,0.20874029857072748,93.775,94.36
31,0.20577723780341112,93.835,94.41
32,0.202986961369639,93.95833333333333,94.55
33,0.19999377413202069,93.99166666666666,94.62
34,0.1974176053426413,94.09666666666666,94.58
35,0.1950664502232949,94.16333333333333,94.73
36,0.19246903262825918,94.285,94.75
37,0.1900586064364801,94.33666666666667,94.74
38,0.18799171797724676,94.39833333333333,94.86
39,0.18566342759162568,94.46333333333334,94.95
40,0.1836094934461531,94.55166666666666,94.99
41,0.18159146347581578,94.6,94.99
42,0.1796472096708474,94.67333333333333,95.07
43,0.17778544808263336,94.67333333333333,95.09
44,0.17594127990067132,94.78,95.22
45,0.17418516093273279,94.86,95.22
46,0.17235413398236227,94.95833333333333,95.24
47,0.17077173620684824,94.93833333333333,95.3
48,0.1691849502935402,95.01333333333334,95.34
49,0.16765939125390067,95.05333333333333,95.38
50,0.1660874821841399,95.13666666666667,95.43
51,0.16469559825654986,95.14666666666666,95.57
52,0.16316782131886431,95.17666666666666,95.47
53,0.1618369311721785,95.23166666666667,95.58
54,0.1605475763959099,95.28666666666666,95.64
55,0.15914873668610224,95.3,95.66
56,0.15794029178570457,95.32666666666667,95.69
57,0.15672440071508828,95.36166666666666,95.76
58,0.15550363179383628,95.40666666666667,95.76
59,0.15422398144446775,95.43333333333334,95.74
60,0.153255808639771,95.47333333333333,95.72
61,0.15199801288267126,95.52333333333333,95.9
62,0.15090107663707342,95.545,95.88
63,0.1497489000553452,95.56666666666666,95.93
64,0.14878492244382277,95.585,95.97
65,0.1477866190721962,95.59833333333333,95.97
66,0.14679610897411607,95.64333333333333,95.91
67,0.1458303685417212,95.69666666666667,96.01
68,0.14483320549019238,95.70333333333333,96.08
69,0.1439915760787629,95.75166666666667,96.07
70,0.14297035813673156,95.75,96.05
71,0.14217584439789627,95.765,96.12
72,0.14139592644573848,95.80333333333333,96.16
73,0.14047629425703273,95.81166666666667,96.08
74,0.13960503474243288,95.85333333333334,96.2
75,0.1387744700885626,95.885,96.21
76,0.13797206890338393,95.90833333333333,96.17
77,0.13712453029390528,95.92333333333333,96.32
78,0.13642798615758545,95.92166666666667,96.26
79,0.13552957281930997,95.96833333333333,96.29
80,0.13502328943258632,95.965,96.29
81,0.13427123296727886,95.995,96.29
82,0.13352133642866224,96.015,96.33
83,0.13272477936214094,96.1,96.38
84,0.13201168740092756,96.075,96.45
85,0.13155254559603327,96.09666666666666,96.38
86,0.13071374368986913,96.10833333333333,96.45
87,0.1301170663574516,96.125,96.36
88,0.1294636790559236,96.19,96.45
89,0.12872270335838484,96.18333333333334,96.5
90,0.1282145441142417,96.18333333333334,96.54
91,0.1276318989882766,96.22333333333333,96.49
92,0.12689326331813708,96.25333333333333,96.51
93,0.12639739550252968,96.27666666666667,96.49
94,0.12576029915958326,96.26333333333334,96.57
95,0.1251508164714013,96.27666666666667,96.53
96,0.12459164178634344,96.27,96.51
97,0.12415038829029941,96.31833333333333,96.59
98,0.12348797566481809,96.33666666666667,96.61
99,0.12294448124987484,96.34166666666667,96.53
100,0.12238897776394002,96.37833333333333,96.55
