Epoch,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,0.5146632439323834,85.24,89.3,0.3859556037813995
2,0.3803141197003027,89.205,90.88,0.3348174885532279
3,0.341210124311226,90.35,91.6,0.30805982493908163
4,0.31636319830537096,91.08,92.28,0.2886460945959304
5,0.29762044354383627,91.54333333333334,92.45,0.27493083927851575
6,0.2832894990169036,91.94166666666666,92.72,0.2613313851557719
7,0.27130151513828904,92.285,93.05,0.25064861997487436
8,0.26130540293258137,92.625,93.13,0.24346712916781
9,0.2524835572742831,92.805,93.5,0.23396627012355503
10,0.24429277873941577,93.045,93.55,0.226911602755356
11,0.23718328542038322,93.18333333333334,93.71,0.2205345425932745
12,0.23068386049810122,93.37833333333333,93.88,0.2137862338749751
13,0.22468616480210316,93.61,93.97,0.20770561750859592
14,0.21924038192054737,93.745,94.16,0.2032651958844749
15,0.2140848500999624,93.87166666666667,94.29,0.19800549684460186
16,0.20953482797325673,93.96333333333334,94.49,0.19413753584691673
17,0.20519874647243827,94.12,94.49,0.1901932937229515
18,0.20110896727773173,94.20666666666666,94.67,0.1850826255769534
19,0.19716294623736633,94.29666666666667,94.75,0.18332403927602492
20,0.19383337568722045,94.43333333333334,94.9,0.17928404127882355
21,0.19035050473900747,94.52,95.05,0.1756859652039589
22,0.18725929849310471,94.595,95.1,0.17262025846310766
23,0.18421467996315596,94.66666666666667,95.16,0.1691377865725974
24,0.18143886666911752,94.78333333333333,95.36,0.16701915122829614
25,0.17872106554363965,94.81666666666666,95.31,0.16481850036734325
26,0.17606805733192576,94.915,95.39,0.16187490467100765
27,0.17377711577948604,94.99666666666667,95.51,0.15966652537203707
28,0.1713353306638883,95.035,95.54,0.15836083354090286
29,0.16912083383768733,95.09333333333333,95.58,0.15554568082224696
30,0.16702261372511065,95.18,95.66,0.15301641750380776
31,0.16514742569422036,95.23666666666666,95.74,0.15059692216562523
32,0.16282552666962147,95.29166666666667,95.71,0.14905586225650969
33,0.16109415358190599,95.345,95.83,0.14719225323438692
34,0.15931000377037632,95.38166666666666,95.86,0.14589175725782846
35,0.15738199620660562,95.47666666666667,95.88,0.1437860703611877
36,0.15572349907262428,95.49833333333333,95.92,0.142218885667456
37,0.15412224816090897,95.56,95.99,0.14128131517594691
38,0.1524943315040773,95.57833333333333,95.99,0.13961090282151464
39,0.15108972220921885,95.61666666666666,96.09,0.137930662504688
40,0.14951096256491916,95.61833333333334,95.99,0.13653614383137483
41,0.14805993804140194,95.67333333333333,96.09,0.13531164738800447
42,0.14674322161553446,95.74333333333334,96.17,0.13369274488501962
43,0.1454534892564707,95.78,96.22,0.13299779296010306
44,0.14418296129512254,95.855,96.18,0.13147236573640375
45,0.14310890283864508,95.87333333333333,96.26,0.12976439024920866
46,0.14165238539444042,95.88666666666667,96.34,0.12897483146731642
47,0.14082485911196102,95.92333333333333,96.27,0.127974223430049
48,0.1392426470558701,95.99166666666666,96.3,0.1277438552596363
49,0.13830309971047045,95.99333333333334,96.36,0.12578744449872215
50,0.13714206820008343,96.02666666666667,96.4,0.12507924795221942
51,0.13609218460890943,96.075,96.39,0.12414670063947938
52,0.1349582956956902,96.09833333333333,96.35,0.12386678003522146
53,0.13423800760749052,96.135,96.42,0.12214396371962918
54,0.13319159450847456,96.15666666666667,96.42,0.12119544459844993
55,0.13213936320301503,96.17666666666666,96.51,0.12064420972256713
56,0.13119359559087612,96.20833333333333,96.51,0.11997979082712892
57,0.13035331973865596,96.23833333333333,96.51,0.11888612417213523
58,0.12949199884283993,96.23166666666667,96.6,0.11748651484291478
59,0.12863828928700324,96.25666666666666,96.51,0.11700584619175525
60,0.12770526165734414,96.29166666666667,96.59,0.11624046683958049
61,0.1269769986489736,96.33,96.6,0.11538147155171746
62,0.1260956373544279,96.36666666666666,96.58,0.11461911773810365
63,0.12528585383831375,96.37166666666667,96.63,0.11438636171889556
64,0.12452353647491063,96.36166666666666,96.67,0.11338600651791117
65,0.12374765220394077,96.36,96.66,0.11254526320088559
66,0.1230315814422233,96.425,96.68,0.11211177095500931
67,0.12235605998683585,96.445,96.69,0.11098198847071072
68,0.12160280598863674,96.475,96.67,0.1105592200290827
69,0.12097090352644353,96.47166666666666,96.72,0.11031777203857163
70,0.12028185828134164,96.50833333333334,96.75,0.1097861667249684
71,0.1195975789276045,96.51833333333333,96.75,0.10842514477275715
72,0.11892093853580195,96.52833333333334,96.77,0.10861933351995626
73,0.11825961056751197,96.56333333333333,96.72,0.10781313035826964
74,0.11754488922766786,96.585,96.7,0.10711932387558898
75,0.1170652446531649,96.6,96.76,0.10681230806712963
76,0.1163447662842458,96.62166666666667,96.76,0.10587796432508903
77,0.11580776927798096,96.63333333333334,96.84,0.10532636859507602
78,0.11525874879004668,96.60833333333333,96.83,0.10524647910990248
79,0.11461147800711458,96.685,96.8,0.10415726838185553
80,0.11406454755894856,96.67166666666667,96.81,0.10389242334377352
81,0.11360792889456346,96.69,96.83,0.10298224421111261
82,0.11297336915063101,96.72,96.85,0.10272002771013315
83,0.11248776715483143,96.73166666666667,96.85,0.10250415710530653
84,0.11201080396922349,96.73833333333333,96.91,0.10182544861543497
85,0.11134288026623602,96.75166666666667,96.87,0.10152289153456356
86,0.11094655908012727,96.765,96.87,0.10110520226376689
87,0.11040052832134052,96.79,96.88,0.10042219600791503
88,0.10989900124517442,96.78833333333333,96.91,0.10005595167478915
89,0.10940878192530766,96.82,96.9,0.09947421736748308
90,0.10887264849733251,96.83333333333333,96.94,0.09927948046428194
