Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
94,0.25,0.48742452793566465,87.28,59.9,1.5679808323550377
95,0.25,0.4835492698928279,87.43,60.4,1.5699394770488617
96,0.25,0.47288652839105755,87.586,60.67,1.563346339259178
97,0.25,0.471279407496495,87.752,60.39,1.563125754997229
98,0.25,0.46223595599308037,88.138,60.17,1.5659790323798064
99,0.25,0.45565426831736283,88.18,60.59,1.5656032292706192
100,0.25,0.4520584032358721,88.368,59.95,1.5793980416978242
1,0.5,3.579071507124645,15.552,23.77,3.061346205936116
2,0.5,2.9065819625049603,27.396,31.79,2.6754925509167324
3,0.5,2.5840826543700666,33.728,35.25,2.502639576128334
4,0.5,2.383697620133305,38.41,40.23,2.2924039956111057
5,0.5,2.240906036265976,41.418,41.81,2.1848298182153396
6,0.5,2.124626591077546,44.164,43.66,2.1088783740997314
7,0.5,2.031665885539921,46.238,45.82,2.0201489621666586
8,0.5,1.945465592319703,48.146,46.89,1.9774358872395412
9,0.5,1.8833077255722201,49.918,47.28,1.9501757067479906
10,0.5,1.8185137831951346,51.15,48.59,1.915775485099501
11,0.5,1.7639323986704698,52.602,49.53,1.8597779896608584
12,0.5,1.7114731500215847,53.8,50.61,1.8250487268350686
13,0.5,1.6703039331509328,54.87,50.59,1.8212601105878308
14,0.5,1.6260040673758367,55.826,51.26,1.792442821393347
15,0.5,1.5937851848809614,56.578,51.45,1.767663714992013
16,0.5,1.5484864095135418,57.616,52.56,1.7447363851936
17,0.5,1.521191752170358,58.318,52.79,1.7330527214487648
18,0.5,1.4869898393026093,59.328,53.19,1.711448434052194
19,0.5,1.4548586407280943,60.024,53.66,1.6899834203112656
20,0.5,1.4270662194322747,60.824,53.9,1.687166185136054
21,0.5,1.401342207132398,61.52,54.27,1.669341043302208
22,0.5,1.3775268280902482,61.916,55.04,1.661119795149299
23,0.5,1.3522030865139973,62.82,55.48,1.6431458201378015
24,0.5,1.3249449046981303,63.49,55.34,1.6408739575914517
25,0.5,1.3047282591347804,63.924,55.68,1.6322759989720241
26,0.5,1.27891722191935,64.786,56.14,1.616929606267601
27,0.5,1.2514332659409175,65.406,55.8,1.6041699105007634
28,0.5,1.2334788707668518,65.836,56.16,1.6107845458255452
29,0.5,1.2147744842959791,66.338,56.62,1.5896587933704351
30,0.5,1.1982738483897255,66.684,56.83,1.5840311695815652
31,0.5,1.1757362625940377,67.474,57.02,1.5823047426855488
32,0.5,1.1566746623619744,68.0,57.01,1.5657414448489049
33,0.5,1.142911146897489,68.23,57.11,1.5713698674159444
34,0.5,1.123695899915817,68.748,57.35,1.5622319408283112
35,0.5,1.1030442566822862,69.306,57.44,1.5651292649044353
36,0.5,1.0878677846068312,69.802,57.27,1.5557060408744083
37,0.5,1.0749484709918957,70.004,57.75,1.5585405439328237
38,0.5,1.0564696017433615,70.372,58.09,1.544243644756876
39,0.5,1.0412721971569159,71.142,57.88,1.5492898165040714
40,0.5,1.0256353698270706,71.38,58.4,1.5420578232236728
41,0.5,1.0096191332468292,71.952,58.4,1.530120247108921
42,0.5,0.999386817293094,71.924,58.45,1.5428314611410638
43,0.5,0.9812787299418388,72.624,58.12,1.5357664831125053
44,0.5,0.9728634249218895,72.796,58.33,1.538736812627999
45,0.5,0.9585745864359619,73.196,58.51,1.5214187901490812
46,0.5,0.9386459547083091,73.982,58.55,1.5255183019455831
47,0.5,0.9204230720124891,74.258,59.03,1.5179208680322975
48,0.5,0.9151128820903466,74.642,58.63,1.5245800458701553
49,0.5,0.9004713893698915,74.88,58.52,1.5228381711206618
50,0.5,0.8899365043091347,75.14,58.84,1.5081492677615707
51,0.5,0.8754436978903573,75.822,59.34,1.5129544203448448
52,0.5,0.860498481013281,76.012,58.96,1.5090107549527647
53,0.5,0.8528666432251406,76.226,59.43,1.5017847297297922
54,0.5,0.8381460510251467,76.554,59.4,1.5118780944757402
55,0.5,0.8304626384125952,76.898,59.29,1.5072834039949308
56,0.5,0.8208079548061961,77.188,59.02,1.5175482615543778
57,0.5,0.807983280066639,77.608,59.57,1.5076718877075583
58,0.5,0.7955188967306596,78.07,59.25,1.5135998862564184
59,0.5,0.7826738330866675,78.312,59.83,1.5052206375796324
