Epoch,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,0.5325148501185212,83.68333333333334,88.67,0.37967814391206023
2,0.37864451702914514,88.68666666666667,89.66,0.34740647932241675
3,0.3525294739125507,89.52833333333334,90.18,0.3260741437648892
4,0.3352973109591744,89.99,90.83,0.3121792207335591
5,0.3223688133807579,90.38,91.1,0.3016883234024807
6,0.3115765521807203,90.70333333333333,91.45,0.29060065116329936
7,0.30244111301484644,90.97166666666666,91.59,0.28293432186173784
8,0.2944447298143019,91.225,91.88,0.2750320905333112
9,0.28715611040306244,91.48166666666667,92.06,0.26809302394746976
10,0.28042867635168245,91.63166666666666,92.3,0.2619602297830164
11,0.27468885166812806,91.81166666666667,92.41,0.2568052182816396
12,0.26928800053751545,92.01,92.53,0.25176899811359726
13,0.26399757169774857,92.155,92.73,0.24638244245130164
14,0.2590590942063248,92.285,92.87,0.24195276133739835
15,0.25470985567121746,92.45,92.93,0.23719150425308638
16,0.2505371175182145,92.57333333333334,93.12,0.23293965612389858
17,0.24640860628567016,92.71166666666667,93.21,0.22913643144735485
18,0.24252368561796414,92.78333333333333,93.5,0.2257251282382733
19,0.23872580592915701,92.95333333333333,93.4,0.22267957640349106
20,0.23532074315747473,93.045,93.48,0.21874192976956344
21,0.23197843685650876,93.15,93.7,0.21591335140572043
22,0.22854094381636775,93.245,93.75,0.21359255156556892
23,0.2255422998148241,93.295,93.81,0.20874029667276867
24,0.22267760646178017,93.42333333333333,93.91,0.20618145686876813
25,0.21965233466105422,93.50333333333333,93.93,0.20391054221304358
26,0.21679644120225647,93.585,94.01,0.20135030684885896
27,0.2142776295042305,93.625,94.13,0.19904891443646447
28,0.21159513084205991,93.74166666666666,94.16,0.19604340463781814
29,0.2090677513337847,93.77333333333333,94.22,0.193939455962817
30,0.2064383143920507,93.875,94.28,0.19089213911159214
31,0.20421190354933363,93.915,94.35,0.18886008964863363
32,0.2021326372292695,94.0,94.43,0.18639128373425667
33,0.19973390195558446,94.09333333333333,94.46,0.18381455035548017
34,0.19753985479076916,94.12833333333333,94.57,0.18225914142005573
35,0.19530640214657796,94.25333333333333,94.57,0.1800809737567784
36,0.19324840196191884,94.26166666666667,94.65,0.17760384893993947
37,0.19128956246191758,94.36833333333334,94.68,0.17578586094247498
38,0.18924201001871876,94.41666666666667,94.74,0.1736178349312039
39,0.18730509194182055,94.46833333333333,94.79,0.17236976168017573
40,0.1856410365972692,94.50833333333334,94.77,0.1707643581981397
41,0.18381033063347915,94.54166666666667,94.89,0.16841058210309617
42,0.181990734506041,94.62666666666667,94.87,0.1666283730453082
43,0.18028136519099602,94.67666666666666,94.96,0.16513159508953335
44,0.17863542891180972,94.70166666666667,95.08,0.163626239169389
45,0.17698523690546752,94.80166666666666,95.07,0.16190575266695895
46,0.17543069212071932,94.79666666666667,95.22,0.16045567446394235
47,0.17396485535844938,94.87166666666667,95.2,0.15882443296752727
48,0.17249639742155828,94.915,95.26,0.15744197588698688
49,0.17095607193484744,94.95,95.24,0.15739513395033825
50,0.16972962698774108,94.99333333333334,95.29,0.155496927942179
51,0.16816782255940982,95.03333333333333,95.38,0.1541398841573317
52,0.16687621616287782,95.06333333333333,95.44,0.15252883315003316
53,0.1656921865589329,95.10666666666667,95.47,0.1511648946981521
54,0.16424914628171972,95.155,95.48,0.15000997333650945
55,0.1630087459225581,95.17333333333333,95.49,0.14891580162142778
56,0.16184886697846562,95.19833333333334,95.52,0.14756560060462565
57,0.16054319811742634,95.23666666666666,95.49,0.14668842125387424
58,0.15938312302766514,95.26666666666667,95.63,0.14535758420409764
59,0.15836491908179098,95.26833333333333,95.64,0.14415695838879344
60,0.15718979864264093,95.325,95.61,0.142867084450213
61,0.15608602239966773,95.34833333333333,95.66,0.1416367626137984
62,0.15504774517580264,95.38166666666666,95.68,0.14101823590470441
63,0.15396212570186554,95.40166666666667,95.71,0.14096904041803188
64,0.15296737520472964,95.44666666666667,95.73,0.13909966056976633
65,0.15201579016258024,95.47,95.77,0.1384842965965438
66,0.15106315556754754,95.50333333333333,95.74,0.13790861505920152
67,0.15010505311612063,95.56666666666666,95.87,0.1365908960645698
68,0.1492164377679131,95.58666666666667,95.78,0.1353140295376396
69,0.14823365391396892,95.59833333333333,95.85,0.13433960154000077
70,0.14740927038051044,95.63666666666667,95.81,0.13400432734845122
71,0.14644567598936273,95.65833333333333,95.94,0.1326608717883492
72,0.14571988785158851,95.71166666666667,95.91,0.1320662623980219
73,0.14479307366261032,95.72,95.9,0.13153759565999268
74,0.1439804942317323,95.75166666666667,96.02,0.13046502333377624
75,0.14308643186572137,95.78666666666666,96.0,0.12979823383828923
76,0.14241450675117817,95.795,96.04,0.12878472579696518
77,0.14160378952659586,95.81,96.0,0.12815441431590374
78,0.14089546552988322,95.80666666666667,96.06,0.12779133264153342
79,0.14005095898302825,95.85666666666667,96.06,0.1275207817978611
80,0.13933916496974763,95.88666666666667,96.08,0.12561569654584454
81,0.1385303894733029,95.885,96.11,0.12505336614936638
82,0.13796794662740566,95.91166666666666,96.12,0.1244314973832814
83,0.13722959056353645,95.94166666666666,96.16,0.12391456595627935
84,0.1365374103387091,95.96666666666667,96.24,0.12345700884226021
85,0.1358266393366113,95.96666666666667,96.13,0.12248179891478911
86,0.13522030861337364,96.00166666666667,96.28,0.12198245487395365
87,0.13455459561103633,96.02,96.17,0.12130911189137371
88,0.1340021957903465,96.02166666666666,96.19,0.12109267313009614
89,0.13326910193731537,96.04,96.3,0.12015479818360204
