Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,0,0.7999131559753723,78.405,87.04,0.44959763157519567
2,0,0.42890367545743485,87.59333333333333,89.35,0.3741958648393488
3,0,0.3771378349806708,88.965,90.19,0.3424648751688611
4,0,0.3480047437110181,89.81666666666666,90.67,0.31919832369846524
5,0,0.32707828959263463,90.36833333333334,91.23,0.3021187261458795
6,0,0.31063478117558496,90.78166666666667,91.58,0.28795002954923044
7,0,0.29687595897233054,91.22333333333333,91.89,0.274304490109348
8,0,0.2846960508620053,91.58833333333334,92.24,0.2638605256819991
9,0,0.27433000956930076,91.84833333333333,92.44,0.25650161628130896
10,0,0.26478988127604225,92.18,92.79,0.24669444727693585
11,0,0.2564181334364897,92.435,92.95,0.2389230176059019
12,0,0.24845463101432394,92.66666666666667,93.19,0.2319927550615019
13,0,0.2413489782908705,92.86,93.35,0.2250335695233884
14,0,0.23454899767409765,93.04,93.44,0.21816701140064912
15,0,0.22836238292377514,93.205,93.64,0.21230661978790905
16,0,0.22267163782787602,93.435,93.91,0.20743938700361236
17,0,0.21704006298328005,93.52833333333334,93.95,0.20163154460276198
18,0,0.21210368543164307,93.69833333333334,94.06,0.19747460827492413
19,0,0.20713785870560705,93.845,94.31,0.19255665582930967
20,0,0.2027337609260067,94.01833333333333,94.31,0.18860257917030412
21,0,0.19848732149470716,94.13166666666666,94.51,0.1846690611397717
22,0,0.1942905243803888,94.22333333333333,94.6,0.18072235015677704
23,0,0.19044180950725764,94.36333333333333,94.76,0.17708417682487304
24,0,0.18671178252203888,94.46833333333333,94.79,0.17378222439912663
25,0,0.18325540542538996,94.58166666666666,94.89,0.170138544776732
26,0,0.17983292707248028,94.67666666666666,94.87,0.16730784908067553
27,0,0.1769386047461648,94.77666666666667,95.05,0.1638764065370011
28,0,0.1736984345168352,94.9,95.1,0.16113255083394848
29,0,0.17096487434902616,94.96,95.18,0.1585013201685658
30,0,0.16827475082979146,95.04666666666667,95.3,0.15563735005795765
31,0,0.16568183355422608,95.09,95.3,0.15414891514488183
32,0,0.16328188453886364,95.195,95.38,0.15090496440056214
33,0,0.16077826422319483,95.26666666666667,95.54,0.14891084625272993
34,0,0.1586422968719369,95.32666666666667,95.56,0.14645019255928504
35,0,0.15631598038380462,95.39833333333333,95.68,0.145032802777614
36,0,0.1542868458592434,95.475,95.67,0.14268649132198588
37,0,0.1523102421357211,95.525,95.74,0.14107178177708274
38,0,0.1504918640332499,95.565,95.89,0.13850316561752588
39,0,0.14849742527193288,95.585,95.87,0.13720111941746704
40,0,0.1468125576776927,95.64666666666666,95.97,0.1354292061959933
41,0,0.14507387278935135,95.72166666666666,96.0,0.1334484378009394
42,0,0.14337119304422122,95.75666666666666,96.02,0.1326546229075071
43,0,0.1418598170167824,95.805,96.03,0.13038996380166548
44,0,0.14030172437755092,95.84833333333333,96.07,0.12922722112037432
45,0,0.13880427699408995,95.88333333333334,96.11,0.1275637245775574
46,0,0.13733722726458997,95.92666666666666,96.17,0.12649987402348334
47,0,0.13585712574223782,95.96333333333334,96.17,0.12466869553681581
48,0,0.1346665849444518,95.98666666666666,96.27,0.12447542659671396
49,0,0.13343955786513495,96.04166666666667,96.23,0.12244907714230761
50,0,0.13202487625705916,96.10666666666667,96.28,0.12160470517601367
51,0,0.1308230455678854,96.13166666666666,96.36,0.12012252499717199
52,0,0.12959525260482546,96.15833333333333,96.37,0.11904565654517074
53,0,0.12866111225220186,96.19,96.48,0.11810176767657991
54,0,0.12748259704099343,96.22333333333333,96.46,0.11721678264587405
55,0,0.1262845360298655,96.285,96.4,0.11619844503113466
56,0,0.1252436366543841,96.28,96.54,0.11473167944509702
57,0,0.12414409726488787,96.30833333333334,96.59,0.11397548940086108
58,0,0.12332935712294284,96.35166666666667,96.6,0.11326595534908639
59,0,0.12226293016391904,96.365,96.66,0.11221949007528223
60,0,0.12140642074065836,96.41666666666667,96.64,0.1113915783901859
61,0,0.12044758319672046,96.43833333333333,96.77,0.11028819931908303
62,0,0.11953321730555184,96.415,96.71,0.10942491641710067
63,0,0.1185695057852007,96.47666666666667,96.85,0.1093915905195413
64,0,0.11779913028030953,96.51166666666667,96.78,0.10807432218048436
65,0,0.11687563987238321,96.50833333333334,96.85,0.10746761852027077
66,0,0.11608904851540955,96.52333333333333,96.82,0.10636084832868
67,0,0.11523719315232435,96.55833333333334,96.8,0.10560718288787516
68,0,0.11451431851226415,96.575,96.83,0.10490496555761476
